----------  Fri  8 May 98, hpt v0.19
6 16.08.16  pkt: /home/mtt/fido/in.sec/15c698ab.pkt
6 16.08.21  pkt: /home/mtt/fido/in.sec/15cbdd1b.pkt
1 16.08.21  End

----------  Wed 20 May 98, hpt v0.19
1 15.01.54  Start
7 15.01.55  Msg from 2:2432/601.29 -> 2:240/5034.0 via 2:2433/1245.0
7 15.01.55  Msg from 2:2432/601.29 -> 2:2487/5005.5 via 2:2433/1245.0
9 15.01.58  Could not open /home/mtt/fido/msgb/dolphin/point
9 15.01.58  Could not open /home/mtt/fido/msgb/dolphin/announce
1 15.02.12  End

----------  Wed 20 May 98, hpt v0.19
1 22.50.04  Start
1 22.50.04  End

----------  Wed 20 May 98, hpt v0.19
1 23.56.21  Start
----------  Wed 20 May 98, hpt v0.19
1 23.57.08  Start
----------  Thu 21 May 98, hpt v0.19
1 14.00.01  Start
1 14.00.01  End

----------  Thu 21 May 98, hpt v0.19
1 18.15.26  Start
9 18.15.29  Could not open /home/mtt/fido/msgb/dolphin/point
9 18.15.29  Could not open /home/mtt/fido/msgb/dolphin/announce
1 18.15.43  End

----------  Thu 21 May 98, hpt v0.19
1 18.29.03  Start
1 18.29.03  End

----------  Thu 21 May 98, hpt v0.19
1 18.31.09  Start
1 18.31.09  End

----------  Thu 21 May 98, hpt v0.19
1 18.31.23  Start
1 18.34.22  End

----------  Thu 21 May 98, hpt v0.19
1 18.34.27  Start
----------  Thu 21 May 98, hpt v0.19
1 18.37.51  Start
1 18.37.51  End

----------  Thu 21 May 98, hpt v0.19
1 18.39.03  Start
----------  Thu 21 May 98, hpt v0.19
1 18.40.30  Start
1 18.40.30  End

----------  Thu 21 May 98, hpt v0.19
1 18.41.02  Start
6 18.41.02  pkt: /home/mtt/fido/in.sec/14c0df40.pkt
6 18.41.05  pkt: /home/mtt/fido/in.sec/14c0df43.pkt
6 18.41.05  pkt: /home/mtt/fido/in.sec/15d3c8d8.pkt
6 18.41.05  pkt: /home/mtt/fido/in.sec/15e10126.pkt
6 18.41.10  pkt: /home/mtt/fido/in.sec/15e10152.pkt
6 18.41.13  pkt: /home/mtt/fido/in.sec/15e46870.pkt
6 18.41.15  pkt: /home/mtt/fido/in.sec/15e63848.pkt
6 18.41.15  pkt: /home/mtt/fido/in.sec/15e6cf2a.pkt
1 18.41.15  End

----------  Thu 21 May 98, hpt v0.19
1 19.27.37  Start
1 19.27.37  End

----------  Thu 21 May 98, hpt v0.19
1 19.29.33  Start
1 19.29.33  End

----------  Thu 21 May 98, hpt v0.19
1 19.35.05  Start
1 19.35.05  End

----------  Thu 21 May 98, hpt v0.19
1 19.37.41  Start
1 19.37.42  End

----------  Thu 21 May 98, hpt v0.19
1 21.02.03  Start
1 21.02.03  End

----------  Thu 21 May 98, hpt v0.19
1 21.26.18  Start
1 21.26.18  End

----------  Sun 24 May 98, hpt v0.19
1 18.48.52  Start
9 18.48.54  Could not open /home/mtt/fido/msgb/dolphin/point
9 18.48.54  Could not open /home/mtt/fido/msgb/dolphin/announce
1 18.49.09  End

----------  Sun 24 May 98, hpt v0.19
1 18.55.38  Start
6 18.55.38  pkt: /home/mtt/fido/in.sec/15ee25d3.pkt
6 18.55.41  pkt: /home/mtt/fido/in.sec/15ee5207.pkt
6 18.55.41  pkt: /home/mtt/fido/in.sec/15f193f2.pkt
6 18.55.42  pkt: /home/mtt/fido/in.sec/15f367ad.pkt
6 18.55.42  pkt: /home/mtt/fido/in.sec/15f48cc8.pkt
6 18.55.42  pkt: /home/mtt/fido/in.sec/15fb541f.pkt
6 18.55.43  pkt: /home/mtt/fido/in.sec/15fec472.pkt
6 18.55.45  pkt: /home/mtt/fido/in.sec/160095cc.pkt
6 18.55.45  pkt: /home/mtt/fido/in.sec/1600981a.pkt
7 18.55.45  Tossed Netmail: 2:2487/5005.5 -> 2:2432/601.29
6 18.55.45  pkt: /home/mtt/fido/in.sec/16009c07.pkt
6 18.55.45  pkt: /home/mtt/fido/in.sec/16088127.pkt
6 18.55.45  pkt: /home/mtt/fido/in.sec/160bf4c3.pkt
6 18.55.46  pkt: /home/mtt/fido/in.sec/161196d2.pkt
1 18.55.47  End

----------  Tue 26 May 98, hpt v0.19
1 13.07.00  Start
9 13.07.04  Could not open /home/mtt/fido/msgb/dolphin/point
9 13.07.04  Could not open /home/mtt/fido/msgb/dolphin/announce
1 13.07.20  End

----------  Tue 26 May 98, hpt v0.19
1 13.10.27  Start
6 13.10.27  pkt: /home/mtt/fido/in.sec/1615b208.pkt
6 13.10.29  pkt: /home/mtt/fido/in.sec/161926e0.pkt
6 13.10.32  pkt: /home/mtt/fido/in.sec/161af3a3.pkt
6 13.10.32  pkt: /home/mtt/fido/in.sec/1622e4f8.pkt
6 13.10.32  pkt: /home/mtt/fido/in.sec/1626562c.pkt
6 13.10.36  pkt: /home/mtt/fido/in.sec/1626565d.pkt
6 13.10.36  pkt: /home/mtt/fido/in.sec/162823b2.pkt
1 13.10.36  End

----------  Tue 26 May 98, hpt v0.19
1 19.17.15  Start
1 19.17.15  End

----------  Tue 26 May 98, hpt v0.19
1 19.18.52  Start
1 19.18.52  End

----------  Wed 27 May 98, hpt v0.19
1 12.36.19  Start
1 12.36.19  End

----------  Wed 27 May 98, hpt v0.19
1 12.36.21  Start
9 12.36.25  Could not open /home/mtt/fido/msgb/dolphin/point
9 12.36.25  Could not open /home/mtt/fido/msgb/dolphin/announce
1 12.36.42  End

----------  Wed 27 May 98, hpt v0.19
1 12.38.57  Start
6 12.38.57  pkt: /home/mtt/fido/in.sec/16301390.pkt
6 12.39.01  pkt: /home/mtt/fido/in.sec/16304e12.pkt
6 12.39.01  pkt: /home/mtt/fido/in.sec/16337fda.pkt
6 12.39.03  pkt: /home/mtt/fido/in.sec/16339dd8.pkt
6 12.39.03  pkt: /home/mtt/fido/in.sec/16355292.pkt
1 12.39.04  End

----------  Wed  3 Jun 98, hpt v0.20
1 08.42.06  Start
1 08.42.06  End

----------  Wed  3 Jun 98, hpt v0.20
1 08.42.16  Start
1 08.42.16  End

----------  Wed  3 Jun 98, hpt v0.20
1 08.42.25  Start
1 08.42.26  Scanning area: 2432.Points
1 08.42.26  Scanning area: 2432.Talk
1 08.42.26  Scanning area: C_ECHO.ger
1 08.42.27  Scanning area: C_PLUSPLUS.ger
1 08.42.27  Scanning area: binkley
1 08.42.28  Scanning area: Binkley.ger
9 08.42.29  Could not open /home/mtt/fido/msgb/dolphin/point
9 08.42.29  Could not open /home/mtt/fido/msgb/dolphin/announce
1 08.42.29  Scanning area: hardrock.ger
1 08.42.30  Scanning area: linux.ger
1 08.42.36  Scanning area: linux.develop.ger
----------  Wed  3 Jun 98, hpt v0.20
1 08.50.32  Start
1 08.50.32  End

----------  Wed  3 Jun 98, hpt v0.20
1 08.50.39  Start
1 08.50.40  Scanning area: 2432.Points
1 08.50.40  Scanning area: 2432.Talk
1 08.50.40  Scanning area: C_ECHO.ger
1 08.50.41  Scanning area: C_PLUSPLUS.ger
1 08.50.42  Scanning area: binkley
1 08.50.43  Scanning area: Binkley.ger
9 08.50.44  Could not open /home/mtt/fido/msgb/dolphin/point
9 08.50.44  Could not open /home/mtt/fido/msgb/dolphin/announce
1 08.50.44  Scanning area: hardrock.ger
1 08.50.47  Scanning area: linux.ger
1 08.50.58  Scanning area: linux.develop.ger
----------  Wed  3 Jun 98, hpt v0.20
1 08.57.06  Start
1 08.57.06  Scanning area: 2432.Points
1 08.57.06  Scanning area: 2432.Talk
1 08.57.07  Scanning area: C_ECHO.ger
